S.No,YouTube Link
1,https://youtu.be/EeM8U5wthE8
2,"हिन्दी स्वनिम व्यवस्था, वर्णमाला, मान स्वर, ध्वनियां आदि पर आधारित कक्षा। UGC NET, MP, UP assis. pro"
3,https://www.youtube.com/live/R8987zgiF3A?si=hI6UiA_-WPqxavsY
4,"हिंदी का मानकीकरण, मानक हिंदी के विविध रूप, प्रमुख शैलियां, मध्यप्रदेश असिस्टेंट प्रोफेसर"
5,https://youtu.be/9kruyCEkh0k
6,"UPHESC असिस्टेंट प्रोफेसर हिन्दी साहित्य, इकाई -1 फास्ट रिवीजन, हिंदी भाषा का विकास, संपूर्ण इकाई"
7,https://www.youtube.com/live/XcdjZZBS1Cs?si=_ctwAEK_cgBqaCsy
8,"UPHESC, प्रयोजन मूलक हिंदी की संवैधानिक स्थिति, हिंदी के प्रसार में विभिन्न संस्थाओं का योगदान"
9,https://youtu.be/kVcnWoA3QeY
10,"हिंदी भाषा का मानकीकरण, लिपि का विकास, हिंदी की संवैधानिक स्थिति, फास्ट रिवीजन UPHESC, MPAP, UGC-NET"
11,https://www.youtube.com/live/NsbugJpi1GY?si=mL32U9go0HEZc5CB
12,https://youtu.be/nLcHQ5H8Na0
13,https://www.youtube.com/live/XBMjlmlPNnI?si=QMzDYpKJ99fUhtNf
14,https://youtu.be/mQEwbk9u_Hs
15,https://youtu.be/Qqyik40Kygo
16,https://www.youtube.com/live/FC37Eh6kXSA?si=PmWUYWn94SIIjs7N
17,https://youtu.be/5GBlLfflb90
18,https://youtu.be/7jBtPZFNcR4
19,"हिन्दी साहित्य आदिकाल, विद्यापति और अमीर खुसरो का साहित्य। UGC NET jrf UPHESC MPSET Assistant pro"
20,https://www.youtube.com/live/hvkjOpnVmjQ?si=2h3UApR0hQQk22jE
21,भक्ति आन्दोलन का उद्भव और विकास विस्तृत कक्षा असिस्टेंट प्रोफेसर यूजीसी नेट जेआरएफ हिन्दी साहित्य
22,"ज्ञानाश्रयी या संतमार्गी काव्य धारा विस्तृत कक्षा हिन्दी साहित्य Lt. grade, assi Pro, UGC-NET JRF"
23,https://youtu.be/RgZ1hzoA6kc
24,https://www.youtube.com/live/cR3-yseMgMg?si=9_21Gnnq1ezisQmY
25,https://www.youtube.com/live/-R8I-D1YdGw?si=KV2zNSQvNiz273gS
26,"कृष्ण भक्ति काव्य धारा - सूरदास, नन्ददास, अष्टछाप के कवि पर आधारित कक्षा, काव्यगत विशेषताएं"
27,https://youtube.com/live/KWdVi-xKbhU?feature=share
28,https://youtu.be/_Yvw5r3ukhQ
29,https://youtu.be/bnk8TB5PjRk
30,https://youtu.be/u0Wd5rBIB70
31,"हिंदी साहित्य का इतिहास,रीतिकाल पर आधारित लेक्चर, महत्वपूर्ण कथन, रामचंद्र शुक्ल, बच्चन सिंह"
32,https://www.youtube.com/live/rh4HKGlEy-A?si=Eb9ib3hSOPV3VyPu
33,https://youtu.be/Kf-2KSoAGX4
34,https://youtu.be/NVf1nwDPRvY
35,https://youtu.be/9i-yktrPtF4
36,https://www.youtube.com/live/jx_LAG8OIf4?si=xIe2zcGmYfYnGYwE
37,https://youtu.be/bdBoNPl3O7c
38,https://www.youtube.com/live/xd6dioXbWNM?si=X-uk-u1soASdZfDB
39,https://youtu.be/D1jecsfoPFI
40,https://youtube.com/live/wjIN_BqJ2Fk?feature=share
41,"सुमित्रानंदन पंत पर आधारित, रामचंद्र शुक्ल के कथन, साहित्य का इतिहास, छायावाद"
42,https://youtu.be/hIJ59u8p_6U
43,"उत्तर छायावाद,मांसलवाद,हालावाद पर आधारित लेक्चर, हरिवंश राय बच्चन की रचनाएं"
44,https://youtu.be/WVc7ZJXIUmE
45,https://www.youtube.com/live/Jj-Nm3XOCsY?si=NVUEmKV57DDCCR8B
46,"प्रगतिवाद की अवधारणा, प्रगतिवादी काव्य और उसके प्रमुख कवि UGC NET jrf Dec exam 2022-23 UPHESC"
47,https://youtu.be/vRuWajC0FIE
48,https://www.youtube.com/live/tUoE3amPwLY?si=YLkZ-1NW64eZIeqD
49,https://youtu.be/zq6siUcuzUs
50,https://www.youtube.com/live/KKxPlsXnr4E?si=YXxVOXV4K9LEbB8i
51,https://youtu.be/swyv9mQkgOQ
52,https://www.youtube.com/live/eaLzp7F5uaY?si=wFTOHoVQfzj3o7oo
53,https://youtu.be/zK_I8tny3EM?si=ook5G2n9XZZw1UYA
54,https://youtu.be/L_R1dJit8xw
55,https://www.youtube.com/live/a9jGMbOvWXs?si=CA_IuylEJCO1xsgt
56,https://www.youtube.com/live/rWsnvsrBHUg?si=J0duOYtH5IFvugJi
57,https://www.youtube.com/live/IC4Xa8HtI9s?si=KLCyDphoGrkCrXp1
58,https://youtu.be/YeZvizYUgg8
59,https://youtu.be/6P8EDfO2JdU
60,https://youtu.be/xi7TNqu_urM
61,https://youtu.be/NjEt4m1O9Ww
62,https://www.youtube.com/live/Lrw0dfogKb8?si=m77LaaLNAi7-9yeg
63,https://youtu.be/qVVjAEztCO4?si=rr5ZPOA87iX0S92L
64,https://youtu.be/XZuguhE8b8w
65,https://www.youtube.com/live/W9Sli0cIWwI?si=KI09Lg1Ixps7k3ji
66,https://youtu.be/jSUeJNJEULo
67,https://youtu.be/8m66Zx2wuJQ
68,https://youtu.be/s-0tkwWY960
69,https://youtu.be/BTCS35kDlng
70,https://www.youtube.com/live/Ctr5jsS7J1c?si=Oz-kIvF_jieGjKgo
71,https://youtu.be/i1L1g8zsBD4
72,https://youtu.be/E2A30USvJ4w
73,https://youtu.be/0iTiZF2MMTc
74,https://youtu.be/OM_Ihpu2peI
75,https://youtu.be/eQUUwfOqeVY
76,https://youtu.be/E_lSqUnVSQM
77,https://youtu.be/0RG6uiAhBwU
78,https://youtu.be/zHdBu0flUcE
79,https://www.youtube.com/live/VsB0qk9SUOk?si=SBdRhbPEx32XHm3I
80,https://youtu.be/eJqi5woCBEw
81,https://youtu.be/KsAHOJG2A_8
82,https://youtu.be/58myi9DbDHo
